time,plg_id,min,avg,max
2018-11-25,10250,1.0,6.0,9.0
2018-11-29,10250,1.0,6.0,9.0
2018-12-03,10250,1.0,5.0,9.0
2018-12-07,10250,1.0,5.0,9.0
2018-12-11,10250,1.0,5.0,9.0
2018-12-15,10250,1.0,5.0,9.0
2018-12-19,10250,1.0,5.0,9.0
2018-12-23,10250,1.0,5.0,9.0
2018-12-27,10250,1.0,5.0,9.0
2018-12-31,10250,1.0,5.0,9.0
2019-01-01,10300,1.0,6.0,9.0
2019-01-05,10300,1.0,6.0,9.0
2019-01-09,10300,1.0,5.0,9.0
2019-01-13,10300,1.0,6.0,9.0
